Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
1,1,31,13,0,0,0,0.8316
1,1,31,14,0,0,0,0.8316
1,1,31,15,0,0,0,0.8316
1,1,31,16,0,0,0,0.8316
1,1,31,17,0,0,0,0.8316
1,1,31,18,0,0,0,0.8316
1,1,31,19,0,0,0,0.8316
1,1,31,20,0,0,0,0.8316
1,1,31,21,0,0,0,0.8316
1,1,31,22,0,0,0,0.8316
1,1,31,23,0,0,0,0.8316
